2019-01-07 15:42:18,873 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:42:21,888 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:42:21,943 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:42:22,164 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:42:22,184 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:42:22,204 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:42:22,223 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:42:22,241 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:42:22,257 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:42:22,277 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:42:22,299 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:42:22,317 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:42:22,333 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:42:23,047 |  Habitos - CRM Info |INFO | Verify that user can able to click the  submit button
2019-01-07 15:42:23,074 |  Habitos - CRM Info |ERROR | Verify that after creating a new tenent it should redirect to index screen
2019-01-07 15:42:23,078 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:42:23,165 |  Habitos - CRM Info |INFO | Verify that if the User Name field is present 
2019-01-07 15:42:23,181 |  Habitos - CRM Info |INFO | Verify that if the username fields get autofocus
2019-01-07 15:42:23,326 |  Habitos - CRM Info |INFO | Verify that if the Password  field is present 
2019-01-07 15:42:23,338 |  Habitos - CRM Info |INFO | Verify that if the password fields get focused
2019-01-07 15:42:23,727 |  Habitos - CRM Info |INFO | Verify that if the user can't able to login with correct un & incorrect password
2019-01-07 15:42:23,805 |  Habitos - CRM Info |INFO | Verify that if the User Name field is present 
2019-01-07 15:42:23,813 |  Habitos - CRM Info |INFO | Verify that if the username fields get autofocus
2019-01-07 15:42:23,926 |  Habitos - CRM Info |INFO | Verify that if the Password  field is present 
2019-01-07 15:42:23,944 |  Habitos - CRM Info |INFO | Verify that if the password fields get focused
2019-01-07 15:42:24,018 |  Habitos - CRM Info |INFO | Verify that user can able to login the valid credentials
2019-01-07 15:42:26,085 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:42:26,086 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:42:27,456 |  Habitos - Individual_Enrollment |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:42:27,479 |  Habitos - Individual_Enrollment |ERROR | if click upload button it should upload the enrolment file
2019-01-07 15:42:28,554 |  Habitos - View Control |ERROR | verify that if click view control menu it should redirect to related screen
2019-01-07 15:43:16,157 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:43:19,369 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:43:19,501 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:43:19,725 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:43:19,755 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:43:19,776 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:43:19,800 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:43:19,817 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:43:19,837 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:43:19,855 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:43:19,871 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:43:19,888 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:43:19,911 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:43:20,546 |  Habitos - CRM Info |INFO | Verify that user can able to click the  submit button
2019-01-07 15:43:20,572 |  Habitos - CRM Info |ERROR | Verify that after creating a new tenent it should redirect to index screen
2019-01-07 15:43:20,575 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:43:20,674 |  Habitos - CRM Info |INFO | Verify that if the User Name field is present 
2019-01-07 15:43:20,691 |  Habitos - CRM Info |INFO | Verify that if the username fields get autofocus
2019-01-07 15:43:20,838 |  Habitos - CRM Info |INFO | Verify that if the Password  field is present 
2019-01-07 15:43:20,848 |  Habitos - CRM Info |INFO | Verify that if the password fields get focused
